cntr	ra	dec
3004089401351005624	279.8130479	-89.8500401
3004089401351006692	292.2013008	-89.8500232
3004089401351005796	278.8227004	-89.8500157
2403089401351005680	220.9430186	-89.8500125
3004089401351005268	309.3114841	-89.8499253
89401351020070	2.6702065	-89.7898244
3004089401351017920	304.5513066	-89.7897477
1802089401351018172	167.6617103	-89.7897366
89401351018350	347.4872982	-89.7896707
89401351019537	339.7564613	-89.7896648
1201089401351017628	122.3198912	-89.7287341
600089401351017495	46.4934035	-89.7287139
2403089401351018043	235.6003886	-89.7287096
3004089401351018508	323.2862728	-89.7286287
3004089401351018241	293.4456712	-89.7286052
600089401351018472	59.1827069	-89.7215026
3004089401351022175	345.7771409	-89.7214591
1802089401351019510	157.7632552	-89.7214464
1201089401351018281	111.5777656	-89.7213603
1201089401351018400	138.2606001	-89.721352
1802089401351018849	155.0332856	-89.7069098
600089401351009025	2.6309037	-89.7069043
1802089401351018660	168.3344757	-89.7068934
3004089401351019298	286.2466973	-89.7068871
1201089401351018083	149.9928369	-89.7068786
89401351021055	27.2612405	-89.6312286
1201089401351018861	98.8781246	-89.6311985
89401351019157	355.2572614	-89.63113
600089401351018922	74.2513086	-89.6311215
2403089401351018881	225.4022461	-89.6311133
2403089401351018547	253.1581556	-89.5312826
600089401351015807	32.696727	-89.531277
3004089401351019077	287.2356249	-89.5312543
2403089401351017435	189.1151171	-89.5312403
89401351019366	346.0765243	-89.5312396
3004089401351018970	316.9615757	-89.5196647
89401351015338	332.7429587	-89.5196295
89401351018018	344.2646897	-89.5195924
600089401351019187	56.3075039	-89.5195723
3004089401351018401	294.5418693	-89.5195657
2403089401351017098	216.2984766	-89.4898831
1802089401351012592	88.5010315	-89.489845
89401351018113	17.106488	-89.489783
2403089401351015601	217.2664944	-89.4897695
1802089401351032122	169.2665315	-89.4897595
600089401351032489	36.1052873	-89.4459347
3004089401351028120	325.3246746	-89.445887
3004089401351031422	301.5865537	-89.4458815
3004089401351015573	271.5532591	-89.4458739
89401351029655	21.2746712	-89.4458736
3004089401351030961	310.0514105	-89.4324136
89401351030396	347.458193	-89.432387
1802089401351027767	201.1390072	-89.4323816
89401351032195	5.910213	-89.4323703
1201089401351031825	112.4473566	-89.4323601
600089401351027867	82.368647	-89.4153424
89401351030560	353.8860806	-89.4153397
1802089401351034072	152.7210118	-89.4153264
1802089401351032461	182.8596219	-89.4153028
600089401351030459	68.3644767	-89.4153012
2403089401351030946	254.4468504	-89.3783408
1802089401351031852	174.7077754	-89.3783219
1201089401351030221	124.3775741	-89.3782449
89401351031492	357.5910117	-89.3782308
1802089401351031745	178.5211071	-89.378186
